CustomerID,R_Score,F_Score,M_Score,RFM_Score,Cluster
14594,1.0,1,2,112.0,4
14865,1.0,1,1,111.0,4
13255,1.0,1,2,112.0,4
13173,1.0,1,2,112.0,4
12785,1.0,1,2,112.0,4
18156,1.0,1,3,113.0,4
15822,1.0,1,3,113.0,4
13030,1.0,1,3,113.0,4
15525,1.0,2,3,123.0,1
14448,1.0,1,2,112.0,4
13579,1.0,1,2,112.0,4
14777,1.0,1,1,111.0,4
12586,1.0,1,1,111.0,4
17760,1.0,1,1,111.0,4
16596,1.0,1,1,111.0,4
13569,1.0,1,2,112.0,4
16411,1.0,1,1,111.0,4
14987,1.0,1,2,112.0,4
15919,1.0,1,2,112.0,4
16916,1.0,1,2,112.0,4
17235,1.0,1,2,112.0,4
13496,1.0,1,2,112.0,4
17371,1.0,1,2,112.0,4
17198,1.0,1,3,113.0,4
12838,1.0,1,3,113.0,4
16519,1.0,1,1,111.0,4
17964,1.0,1,2,112.0,4
15983,1.0,2,3,123.0,1
15965,1.0,2,3,123.0,1
14544,1.0,1,4,114.0,1
17044,1.0,1,3,113.0,4
17430,1.0,1,1,111.0,4
16134,1.0,1,2,112.0,4
16560,1.0,1,3,113.0,4
14673,1.0,2,4,124.0,1
16863,1.0,2,2,122.0,4
17999,1.0,1,2,112.0,4
17812,1.0,2,3,123.0,1
15101,1.0,1,2,112.0,4
14618,1.0,2,2,122.0,4
15680,1.0,1,3,113.0,4
15028,1.0,2,2,122.0,4
16367,1.0,1,3,113.0,4
14150,1.0,1,3,113.0,4
12577,1.0,2,2,122.0,4
13817,1.0,1,2,112.0,4
13329,1.0,2,3,123.0,1
12673,1.0,1,2,112.0,4
15012,1.0,1,2,112.0,4
12944,1.0,1,2,112.0,4
14723,1.0,3,3,133.0,1
15545,1.0,1,1,111.0,4
17181,1.0,1,1,111.0,4
13565,1.0,1,1,111.0,4
12970,1.0,2,2,122.0,4
17951,1.0,2,3,123.0,1
13034,1.0,1,2,112.0,4
17555,1.0,1,2,112.0,4
17025,1.0,1,2,112.0,4
17324,1.0,2,3,123.0,1
15468,1.0,2,2,122.0,4
13068,1.0,1,2,112.0,4
17884,1.0,2,3,123.0,1
